ID,X,Y,DATA1,DATA2,DATA3,ISZONE,ISINTERSEC,LABEL
74350,288968.0,5052512.0,1.0,0.0,0.0,0,0,0000
74351,289000.0,5052576.0,1.0,0.0,0.0,0,1,0000
74352,289134.0,5052606.0,1.0,0.0,0.0,0,0,0000
74353,289182.0,5052779.0,1.0,0.0,0.0,0,0,0000
74354,289131.0,5052883.0,1.0,0.0,0.0,0,0,0000
74355,290400.0,5052358.0,1.0,0.0,0.0,0,0,0000
74357,291166.0,5052833.0,1.0,0.0,0.0,0,0,0000
74358,291190.0,5052888.0,1.0,0.0,0.0,0,0,0000
74359,290387.0,5052382.0,1.0,0.0,0.0,0,0,0000
74360,290237.0,5052359.0,1.0,0.0,0.0,0,1,0000
74361,290161.0,5052466.0,1.0,0.0,0.0,0,0,0000
74362,290393.0,5052624.0,1.0,0.0,0.0,0,0,0000
74363,290616.0,5052242.0,0.0,2021.0,133.0,0,0,0000
74364,290237.0,5052198.0,1.0,0.0,0.0,0,0,0000
74365,290598.0,5052426.0,1.0,0.0,0.0,0,0,0000
74366,291186.0,5052606.0,1.0,0.0,0.0,0,0,0000
74367,289132.0,5052217.0,1.0,0.0,0.0,0,0,0000
74368,289030.0,5052363.0,1.0,0.0,0.0,0,0,0000
74369,290565.0,5052332.0,0.0,2021.0,133.0,0,0,0000
74370,290558.0,5052209.0,0.0,2021.0,133.0,0,0,0000
74371,290495.0,5052215.0,0.0,2021.0,133.0,0,0,0000
74372,290453.0,5052268.0,0.0,2021.0,133.0,0,0,0000
74373,290482.0,5052330.0,0.0,2021.0,133.0,0,0,0000
74375,288135.0,5053491.0,1.0,0.0,0.0,0,0,0000
74376,284410.0,5059962.0,1.0,0.0,0.0,0,0,0000
74377,288935.0,5052569.0,1.0,0.0,0.0,0,0,0000
74378,289165.0,5052389.0,1.0,0.0,0.0,0,0,0000
74379,289370.0,5052120.0,1.0,0.0,0.0,0,0,0000
74380,289534.0,5052092.0,1.0,0.0,0.0,0,0,0000
74381,283390.0,5051558.0,1.0,0.0,0.0,0,0,0000
74382,285358.0,5055121.0,1.0,0.0,0.0,0,0,0000
74383,286485.0,5055584.0,1.0,0.0,0.0,0,0,0000
74384,286338.0,5055728.0,1.0,0.0,0.0,0,1,0000
74385,286460.0,5055787.0,1.0,0.0,0.0,0,0,0000
74386,286558.0,5055680.0,1.0,0.0,0.0,0,0,0000
